﻿заболевание,симптомы,лечение,врач,уровень риска
грипп,"лихорадка,кашель,боль в горле,насморк или заложенность носа,мышечные боли,головная боль,усталость","безрецептурные препараты,отдых,жидкость","семейный врач,неотложная помощь","низкий (0,1%"
бронхит,"кашель,выделение мокроты,одышка,боль в груди","антибиотики,безрецептурные препараты,отдых,жидкость","семейный врач,пульмонолог","низкий (0,5%"
пневмония,"лихорадка,кашель,одышка,боль в груди,усталость","антибиотики,безрецептурные препараты,отдых,жидкость","семейный врач,пульмонолог",умеренный (1%)
сердечный приступ,"боль в груди,одышка,тошнота,рвота,головокружение,потливость",скорая медицинская помощь,кардиолог,высокий (20%)
инсульт,"внезапная слабость,онемение одной стороны тела,спутанность сознания,затруднение речи,нарушение зрения на один глаз,сильная головная боль",скорая медицинская помощь,невролог ,высокий (15%)
рак,"уплотнение,необъяснимая потеря веса,усталость,изменения в работе кишечника,привычек мочеиспускания,постоянный кашель,несварение,необъяснимое кровотечение или выделения","хирургия,химиотерапия,лучевая терапия ",онколог,варьируется в зависимости от типа рака
диабет,"повышенная жажда,частое мочеиспускание,необъяснимая потеря веса,усталость,затуманенное зрение,медленно заживающие порезы","диета,упражнения,лекарства",эндокринолог,высокий (25%)
болезнь альцгеймера,"потеря памяти,спутанность сознания,затруднение мышления,изменения личности или поведения","лекарства от болезни альцгеймера не существует, но есть методы лечения, которые могут помочь справиться с симптомами",невролог,высокий (70%)
артрит,"боль,скованность,отек,воспаление в суставах","лекарства,физиотерапия,изменения образа жизни",ревматолог,варьируется в зависимости от типа артрита
аденовирус,"лихорадка,боль в горле,кашель,конъюнктивит,сыпь,конъюнктивит","антибиотики,безрецептурные препараты,отдых,жидкость","семейный врач,неотложная помощь","низкий (0,1%)"
афлатоксикоз,"рвота,диарея,желтуха,повреждение печени,смерть","лекарства от афлатоксикоза не существует, но лечение может включать поддерживающую терапию, трансплантацию печени",гастроэнтеролог,высокий (70%)
алкоголизм,"физическая зависимость от алкоголя,толерантность к алкоголю,симптомы отмены,нарушение суждений,проблемы с памятью,повреждение печени,сердечные заболевания,рак","лечение алкоголизма может включать консультирование, медикаменты, группы поддержки","психиатр,специалист по зависимостям",высокий (25%)
аллергический ринит,"насморк,чихание,зуд в глазах,зуд в носу,горле,небе","безрецептурные препараты,аллерген-специфическая иммунотерапия",аллерголог,"низкий (0,1%)"
болезнь альцгеймера,"потеря памяти,спутанность сознания,затруднение мышления,изменения личности или поведения","лекарства от болезни альцгеймера не существует, но есть методы лечения, которые могут помочь справиться с симптомами",невролог,высокий (70%)
анемия,"усталость,одышка,бледная кожа,головокружение,слабость",,гематолог ,варьируется в зависимости от типа анемии
тревожное расстройство,"чрезмерное беспокойство,страх,тревога,мешающие повседневной жизни","лечение тревожных расстройств может включать терапию, медикаменты, комбинацию обоих","психолог,психиатр",варьируется в зависимости от типа тревожного расстройства
аппендицит,"боль в нижней правой части живота,тошнота,рвота,лихорадка",аппендэктомия,хирург ,высокий (20%)
артрит,"боль,скованность,отек,воспаление в суставах","лекарства,физиотерапия,изменения образа жизни",ревматолог,варьируется в зависимости от типа артрита
синдром аспергера,"трудности с социальным взаимодействием,повторяющееся поведение,ограниченные интересы","лекарства от синдрома аспергера не существует, но есть методы лечения, которые могут помочь справиться с симптомами","психолог,психиатр",варьируется
астма,"хрипы,одышка,кашель,стеснение в груди","лечение астмы может включать медикаменты, изменения образа жизни, аллерген-специфическую иммунотерапию","аллерголог,пульмонолог",варьируется
бактериальный менингит,"лихорадка,головная боль,ригидность затылочных мышц,тошнота,рвота,светочувствительность",антибиотики,"невролог,нейрохирург",высокий (20%)
биполярное расстройство,"резкие перепады настроения, от маниакальной депрессии","лечение биполярного расстройства может включать медикаменты, терапию, комбинацию обоих","психолог, психиатр",варьируется
рак мочевого пузыря,"кровь в моче, боль или жжение при мочеиспускании, частое мочеиспускание, позывы к мочеиспусканию, недержание","хирургия, химиотерапия, лучевая терапия",уролог,высокий (70%)
тромб,"боль, отек, покраснение, тепло, болезненность в пораженной области, одышка, боль в груди, затрудненное дыхание, кашель с кровью","лечение тромба может включать медикаменты, хирургию, комбинацию обоих","кардиолог, гематолог",высокий (20%)
бронхит,"кашель, выделение мокроты, одышка, боль в груди","антибиотики, безрецептурные препараты, отдых, жидкости","семейный врач, пульмонолог",низкий (0.5%)
бурсит,"боль, отек, воспаление в сумке, которая представляет собой небольшой мешочек с жидкостью, амортизирующий суставы","медикаменты, отдых, лед, компрессия, возвышение","семейный врач, ортопед",варьируется в зависимости от сумки
рак,"уплотнение, необъяснимая потеря веса, усталость, изменения в работе кишечника, мочевого пузыря, постоянный кашель, несварение, необъяснимое кровотечение или выделения","хирургия, химиотерапия, лучевая терапия",онколог,варьируется в зависимости от типа рака
рак шейки матки,"аномальные результаты мазка Папаниколау, аномальные вагинальные кровотечения, боль во время секса","хирургия, химиотерапия, лучевая терапия",гинеколог,высокий (70%)
ветряная оспа,"сыпь, лихорадка, головная боль, мышечные боли, усталость","противовирусные препараты, безрецептурные препараты, отдых, жидкости","семейный врач, неотложная помощь",низкий (0.1%)
хроническая обструктивная болезнь легких (ХОБЛ),"хронический бронхит, эмфизема","лечение ХОБЛ может включать медикаменты, изменение образа жизни, кислородную терапию",пульмонолог,варьируется в зависимости от типа ХОБЛ
холестерин,высокий уровень холестерина в крови,"диета, физические упражнения, медикаменты",кардиолог,варьируется в зависимости от уровня холестерина
простуда,"насморк, чихание, боль в горле, кашель, заложенность носа","безрецептурные препараты, отдых, жидкости","семейный врач, неотложная помощь",низкий (0.1%)
конъюнктивит,"красные, зудящие, слезящиеся глаза","безрецептурные препараты, теплые компрессы","семейный врач, офтальмолог",низкий (0.1%)
депрессия,"грусть, безнадежность, потеря интереса к занятиям, изменения аппетита, сна, уровня энергии","лечение депрессии может включать медикаменты, терапию, комбинацию обоих","психолог, психиатр",варьируется
диабет,"повышенная жажда, частое мочеиспускание, необъяснимая потеря веса, усталость, затуманенное зрение, медленно заживающие порезы","диета, физические упражнения, медикаменты",эндокринолог,высокий (25%)
диарея,"жидкий, водянистый стул","безрецептурные препараты, отдых, жидкости","семейный врач, неотложная помощь",низкий (0.1%)
расстройство пищевого поведения,"нарушение пищевого поведения, которое может привести к серьезным проблемам со здоровьем","лечение расстройств пищевого поведения может включать терапию, медикаменты, группы поддержки","психолог, психиатр",варьируется в зависимости от типа расстройства пищевого поведения
эпилепсия,судороги,"медикаменты, хирургия",невролог,варьируется в зависимости от типа эпилепсии
лихорадка,повышенная температура тела,"безрецептурные препараты, отдых, жидкости","семейный врач, неотложная помощь",низкий (0.1%)
пищевое отравление,"тошнота, рвота, диарея, спазмы в животе","безрецептурные препараты, отдых, жидкости","семейный врач, неотложная помощь",низкий (0.1%)
камни в желчном пузыре,"боль в верхней правой части живота, тошнота, рвота, лихорадка",хирургия,хирург,высокий (20%)
гонорея,"инфекция, передающаяся половым путем, которая может вызывать жжение при мочеиспускании, выделения из полового члена или влагалища, боль в нижней части живота",антибиотики,"уролог, гинеколог",высокий (70%)
сердечные заболевания,"боль в груди, одышка, усталость, головокружение, обморок","лечение сердечных заболеваний может включать медикаменты, изменение образа жизни, хирургию",кардиолог,высокий (20%)
гепатит,воспаление печени,"лечение гепатита может включать медикаменты, отдых, изменение образа жизни",гастроэнтеролог,зависит от типа гепатита
герпес,"инфекция, передающаяся половым путем, которая может вызывать волдыри на половых органах, во рту, других частях тела","лекарства от герпеса не существует, но есть методы лечения, которые могут помочь справиться с симптомами","уролог, гинеколог",высокий (70%)
грипп,"лихорадка, кашель, боль в горле, насморк или заложенность носа, мышечные боли, головная боль, усталость","безрецептурные лекарства, отдых, обильное питье","семейный врач, неотложная помощь","низкий (0,1%)"
синдром раздраженного кишечника (СРК),"боль в животе, вздутие, запор, диарея","лечение СРК может включать диету, изменение образа жизни, медикаменты"," семейный врач, гастроэнтеролог",варьируется
камни в почках ,"боль в пояснице или боку, тошнота, рвота, кровь в моче",хирургия,уролог,высокий (20%)
рак легких,"кашель, который не проходит, одышка, боль в груди, необъяснимая потеря веса, усталость, кровь в мокроте","хирургия, химиотерапия, лучевая терапия",онколог,высокий (70%)
малярия,"лихорадка, озноб, потливость, головная боль, мышечные боли, усталость, рвота, диарея",противомалярийные препараты,"семейный врач, неотложная помощь",высокий (20%)
корь,"лихорадка, кашель, насморк, покраснение глаз, боль в горле, сыпь",вакцина от кори,"семейный врач, неотложная помощь",высокий (70%)
менингит,"лихорадка, головная боль, ригидность затылочных мышц, тошнота, рвота, светобоязнь",антибиотики,"невролог, нейрохирург",высокий (20%)
мононуклеоз,"лихорадка, боль в горле, усталость, увеличенные лимфатические узлы, сыпь","лекарства от мононуклеоза не существует, но симптомы можно лечить отдыхом, обильным питьем, безрецептурными препаратами","семейный врач, неотложная помощь","низкий (0,1%)"
пневмония,"лихорадка, кашель, одышка, боль в груди, усталость",антибиотики,"семейный врач, пульмонолог",умеренный (1%
бешенство,"лихорадка, головная боль, мышечные боли, покалывание в месте укуса, затрудненное глотание, гидрофобия, аэрофобия",вакцина от бешенства,"врач, неотложная помощь",высокий (70%)
сальмонелла,"лихорадка, диарея, спазмы в животе, тошнота, рвота",антибиотики,"семейный врач, неотложная помощь ","низкий (0,1%)"
опоясывающий лишай,"болезненная сыпь, следующая по ходу нерва",противовирусное средство,"семейный врач, дерматолог ","низкий (0,1%)"
туберкулез (тб),"кашель, который не проходит, лихорадка, ночная потливость, потеря веса, усталость, боль в груди",антибиотики,"семейный врач, пульмонолог",высокий (20%)
инфекция мочевыводящих путей (имуп),"болезненное мочеиспускание, жжение, частое мочеиспускание, позывы к мочеиспусканию, кровь в моче",антибиотики,уролог,"низкий (0,1%)"
варикозное расширение вен,"отекшие, извитые вены, обычно на ногах","хирургия, компрессионные чулки, изменение образа жизни",сосудистый хирург,варьируется
бородавки ,"выступающие, шершавые наросты на коже","безрецептурные препараты, рецептурные препараты, криотерапия, лазерная терапия",дерматолог,"низкий (0,1%)"
грибковая инфекция,"зуд, жжение, выделения из влагалища или полового члена","безрецептурные препараты, рецептурные препараты","уролог, гинеколог","низкий (0,1%)"
акантамебный кератит,"боль, покраснение, воспаление в глазу","антибиотики, противогрибковые средства, хирургия",офтальмолог ,"низкий (0,1%"
острый аппендицит,"боль в правом нижнем квадранте живота, тошнота, рвота, лихорадка",аппендэктомия,хирург,высокий (20%)
острое повреждение почек (ОПП) ,снижение функции почек,"лечение основной причины, такой как обезвоживание, инфекция, побочный эффект лекарства ",нефролог ,варьируется
болезнь альцгеймера,"потеря памяти, спутанность сознания, трудности с мышлением, изменения личности или поведения","лекарства от болезни альцгеймера не существует, но есть методы лечения, которые могут помочь справиться с симптомами ",невролог,высокий (70%)
анемия,"усталость, одышка, бледная кожа, головокружение, дурнота","лечение анемии зависит от типа анемии, но может включать медикаменты, переливание крови, хирургию",гематолог,зависит от типа анемии
аневризма аорты,"выпячивание стенки аорты, крупнейшей артерии в организме",хирургия,сосудистый хирург,высокий (20%)
бактериальный менингит ,"лихорадка, головная боль, ригидность затылочных мышц, тошнота, рвота, светочувствительность",антибиотики,"невролог, нейрохирург",высокий (20%)
биполярное расстройство,"экстремальные перепады настроения, от мании до депрессии","лечение биполярного расстройства может включать медикаменты, терапию, комбинацию обоих","психолог, психиатр",варьируется
рак шейки матки ,"аномальные результаты мазка Папаниколау, аномальные вагинальные кровотечения, боль во время полового акта","хирургия, химиотерапия, лучевая терапия",гинеколог ,высокий (70%)
колоректальный рак,"изменение характера стула, такое как диарея, запор, сужение стула, кровь в стуле, боль в животе, необъяснимая потеря веса","хирургия, химиотерапия, лучевая терапия",гастроэнтеролог,высокий (70%)
деменция,"потеря памяти, спутанность сознания, трудности с мышлением, изменения личности или поведения","лекарства от деменции не существует, но есть методы лечения, которые могут помочь справиться с симптомами",невролог ,варьируется
эректильная дисфункция,трудности с достижением и поддержанием эрекции ,"медикаменты, изменения образа жизни, хирургия ",уролог,варьируется
фибромиалгия,"распространенная боль, усталость, болезненность","медикаменты, изменения образа жизни ",ревматолог ,варьируется
глаукома,"повышенное внутриглазное давление, которое может повредить зрительный нерв и привести к потере зрения","медикаменты, хирургия ", офтальмолог,варьируется
сердечная недостаточность,"состояние, при котором сердце не может перекачивать кровь так хорошо, как должно","медикаменты, изменения образа жизни, хирургия",кардиолог,высокий (20%)
заболевание почек,"повреждение почек, которое может привести к почечной недостаточности","лечение основного заболевания, такого как высокое кровяное давление, диабет, инфекция",нефролог,варьируется
заболевание легких,"состояние, которое поражает легкие и может затруднять дыхание","лечение основного заболевания, такого как астма, хроническая обструктивная болезнь легких (ХОБЛ), пневмония",пульмонолог,варьируется
болезнь Паркинсона,"тремор, замедленность движений, скованность, трудности с балансом, координацией "," медикаменты, изменения образа жизни",невролог ,варьируется
язвенная болезнь ,"боль в верхней части живота, несварение, тошнота, рвота","медикаменты, изменения образа жизни, хирургия ",гастроэнтеролог,варьируется
заболевание периферических артерий,"боль, онемение, покалывание в руках или ногах","медикаменты, изменения образа жизни, хирургия",сосудистый хирург,варьируется
пневмония,"лихорадка, кашель, одышка, боль в груди, усталость",антибиотики,"семейный врач, пульмонолог",умеренный (1%)
рак предстательной железы,"затрудненное мочеиспускание, кровь в моче, боль в спине или бедрах, эректильная дисфункция"," хирургия, лучевая терапия, гормональная терапия",уролог,высокий (70%)
ревматоидный артрит,"боль, отек, скованность в суставах","медикаменты, изменения образа жизни",ревматолог,варьируется
инсульт,"внезапная слабость, онемение с одной стороны тела, затрудненная речь, спутанность сознания, проблемы со зрением одного глаза, сильная головная боль","лечение основного заболевания, такого как тромболитическая терапия, хирургия","невролог, нейрохирург",высокий (20%)
рак желудка,"боль в верхней части живота, несварение, тошнота, рвота, потеря веса","хирургия, химиотерапия, лучевая терапия",гастроэнтеролог ,высокий (70%)
рак щитовидной железы,"уплотнение в шее, охриплость, усталость, потеря веса, необъяснимая непереносимость тепла, чувствительность к холоду","хирургия, лучевая терапия, гормональная терапия",эндокринолог,высокий (70%)
язвенный колит,"диарея, кровь в стуле, боль в животе, потеря веса","медикаменты, хирургия",гастроэнтеролог ,варьируется
бородавки,"выступающие, шершавые образования на коже","безрецептурные препараты, рецептурные препараты, криотерапия, лазерная терапия", дерматолог,низкий (0.1%)
атопический дерматит,"зудящая, красная, воспаленная кожа","лекарства, изменения образа жизни", дерматолог,варьируется
целиакия,"диарея, вздутие живота, потеря веса, усталость, боль в животе",безглютеновая диета,гастроэнтеролог,варьируется
хроническая болезнь почек,"усталость, одышка, отеки, высокое кровяное давление, изменения в мочеиспускании","лечение основного заболевания, такого как высокое кровяное давление, диабет, инфекция",нефролог,варьируется
болезнь Крона,"диарея, кровь в стуле, боль в животе, потеря веса","лекарства, хирургическое вмешательство",гастроэнтеролог,варьируется
эпилепсия ,судороги,"лекарства, хирургическое вмешательство",невролог,варьируется
фибромиалгия,"распространенная боль, усталость, болезненность","лекарства, изменения образа жизни",ревматолог,варьируется
